leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00787nx  a22002051i 4500,22318311600001488,9980044110101488,1103232u    8   4001uulat0000000,20150114094434.0,"
      DIGI_0033_0101
    ","
      The Romantic Agony
      Manuscriptacq
      201103
      2008, cat. 35, nr. 1053
    ","
      Gelin, R.D.E.
      Ownership stamp
    ","
      O.F.M. in Belgio
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 301
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Gelin, R.D.E.
      Ex libris R. D.-E. Gelin
      Ownership stamp
    ","
      O.F.M. in Belgio
      O.F.M. in Belgio Sig. Studii Partis Wallonicae
      Ownership stamp
    ","
      2013: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      Band in very bad condition
    ","
      F. 76 is partly missing
    ","
      20081122
    ",,,,,,
     nx  a22     1i 4500,22320284700001488,9984882080101488,1203092u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. K13
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00642nx  a22001811i 4500,22318431070001488,9980167940101488,1104182u    8   4001uulat0000000,20150210133643.0,"
      DIGI_0033_0126
    ","
      201104
    ","
      Bertrand, Joannes Franciscus
      Handwritten
    ","
      Conv. S. Bernardini Halle
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 326
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertrand, Joannes Franciscus
      In usum j: f: Betrand 1751
      Handwritten
    ","
      Conv. S. Bernardini Halle
      Ex libris conv. S. Bernardini Halle
      Ownership stamp
    ","
      BIBC
      CaaCD16
    ","
      Bandcover in poor condition
    ",,,,,,,,
00348nx  a22001211i 4500,22318263540001488,9980080650101488,1103312u    8   4001uulat0000000,20150212095915.0,"
      DIGI_0033_0138
    ","
      The Romantic Agony
      Monographacq
      201109
    ","
      BIBC
      BRES
      Ms. 338
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      Many inserted small leaflets
    ",,,,,,,,,,,,,,
00307nx  a22001211i 4500,22318332770001488,9980135760101488,1104112u    8   4001uulat0000000,20150209155111.0,"
      DIGI_0033_0120
    ","
      PK460-2
      201104
    ","
      BIBC
      BRES
      Ms. 320
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD3
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22318997430001488,9982442420101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0003
    ","
      Bockstaele, Paul
      Manuscriptdon
      201107
    ","
      F. 19 : leaflet is inserted ; at the end of the manuscript there are some leaflets inserted
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B3/1
    ",,,,,,,,,,,,
00426nx  a22001451i 4500,22318405890001488,9980119940101488,20150209144737.0,1104072u    8   4001uulat0000000,"
      DIGI_0033_0115
    ","
      Claeys-Bouuaert, Ferdinandus (Gent)
      Manuscriptdon
      201104
    ","
      BIBC
      BRES
      Ms. 315
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD31
    ","
      BIBC
      C19
    ","
      Bandcover in very poor condition
    ",,,,,,,,,,,
     nx  a22     1i 4500,22321280670001488,9985128560101488,1205092u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1613
    ","
      The Romantic Agony
      Manuscriptacq
      201205
    ","
      Cover in bad condition ; folia missing at the beginning
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2001.03.16-17
    ","
      BIBC
      CaaCD Douai 1
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22319048500001488,9982481200101488,1107252u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0022
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. 16/1
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321335820001488,9985134470101488,1205102u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1456
    ","
      Baggerman, Georges
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      1995.05.05
    ",,,,,,,,,,,,,,,
     nx  a22     1i 4500,22320259580001488,9984879010101488,1203092u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. R11
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22318934690001488,9982446350101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0008
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      At the end : small loose leaflet
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B4/3
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22318308840001488,9980058550101488,1103282u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 304
    ","
      De Vocht, Henri
      Manuscriptdon
      201103
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1962
    ","
      De Vocht, Henri
      Henry de Vocht
      Handwritten
    ","
      BIBC
      CaaCDTrinitas1
    ","
      BIBC
      C36
    ","
      De Vocht, Henri
      Handwritten
    ",,,,,,,,,,
00827nx  a22002291i 4500,22323047310001488,9984692670101488,20150909114346.0,1202162u    8   4001uulat0000000,"
      DIGI_0033_0406
    ","
      Heverlee : S.J. (bibl. ABSE)
      Manuscriptdep
      201202
      GBIB
    ","
      Coll. Stae Barb. Gandae
      Bookplate
    ","
      GBIB
      GBIB
      PM0334
    ","
      SR boekblok (gedeeltelijk) losgeraakt
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 04
    ","
      Coll. Stae Barb. Gandae
      Bookplate
    ","
      GBIB
      Ms SJ CR 434
    ","
      Bandcover is very bad condition
    ","
      Frontispice inserted : Sainte Catherine (Crepy ex.)
    ",,,,
00526nx  a22001691i 4500,22318340570001488,9980108010101488,20150109144909.0,1104062u    8   4001uulat0000000,"
      DIGI_0033_0109
    ","
      De Vocht, Henri
      Manuscriptdon
      201104
    ","
      de Lerneux, Florent
      Handwritten
    ","
      BIBC
      BRES
      Ms. 309
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      de Lerneux, Florent
      Ce livre apartient a Florent de Lerneux de Presle
      Handwritten
    ","
      BIBC
      CaaCD1
    ","
      BIBC
      C37
    ","
      1962
    ",,,,,,,,,
     nx  a22     1i 4500,22318716950001488,9982467090101488,1107192u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0020
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B14
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22319042200001488,9982425400101488,1107052u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0001
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandcover in very very poor condition
    ","
      P. 4-5 : folio is inserted
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B1
    ",,,,,,,,,,,
     nx  a22     1i 4500,22320955820001488,9983532560101488,1111082u    8   4001uulat0000000,,"
      Mechelen: GSM
      Manuscriptdep
      201111
    ","
      Binding in very bad condition
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      GBIB
      GBIB
      GSM Cod. 102
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22320083550001488,9984806480101488,1203012u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. O1
    ","
      BIBC
      BRES
    ","
      Abdij van Berne Heeswijk
      Ms. O1
    ",,,,,,,,,,,,
00333nx  a22001211i 4500,22321865260001488,9983730050101488,20150121140802.0,1112062u    8   4001uulat0000000,"
      DIGI_0033_0039
    ","
      The Romantic Agony
      Monographacq
      201201
    ","
      BIBC
      BRES
      Ms. 239
    ","
      UBKUL collegedictaten host
    ","
      Cover is very bad condition
    ",,,,,,,,,,,,,,
00298nx  a22001211i 4500,22318784250001488,9981080110101488,1106162u    8   4001uulat0000000,20150210160413.0,"
      DIGI_0033_0124
    ","
      201106
    ","
      BIBC
      BRES
      Ms. 324
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      No bandcover
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22318690750001488,9982466190101488,1107182u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0019
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B13
    ",,,,,,,,,,,,,
00406nx  a22001211i 4500,22319813470001488,9983127850101488,1109262u    8   4001uulat0000000,20150212120047.0,"
      DIGI_0033_0144
    ","
      Manuscriptacq
      201109
    ","
      van Gastel, Jacobus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 344
    ","
      UBKUL collegedictaten host BIBC aanwinst
    ","
      van Gastel, Jacobus
      ex libris Jacobi van Gastel Religiosi sx XXX
      Handwritten
    ",,,,,,,,,,,,,
00435nx  a22001451i 4500,22318319180001488,9980062350101488,20150205111656.0,1103282u    8   4001uulat0000000,"
      DIGI_0033_0105
    ","
      PK479-4
      201103
    ","
      BIBC
      BRES
      Ms. 305
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDTrinitas2
    ","
      Bandcover is in very poor condition
    ","
      Small engraving pasted on endpaper at the beginning
    ",,,,,,,,,,,
     nx  a22     1i 4500,22320214600001488,9984831760101488,1203072u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. K8
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00370nx  a22001451i 4500,22318453850001488,9980131450101488,1104112u    8   4001uulat0000000,20150114103515.0,"
      DIGI_0033_0117
    ","
      K76041
      Manuscriptacq
      201104
    ","
      BIBC
      BRES
      Ms. 317
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCD28
    ","
      BIBC
      C204
    ","
      1976
    ",,,,,,,,,,,
     nx  a22     1i 4500,22318924030001488,9982445190101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0007
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      F. 35-36 : loose leaflet
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B4/2
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22320512430001488,9985040470101488,1204182u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1314
    ","
      201204
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      BIBC
      CaaCD7
    ","
      BIBC
      C113
    ",,,,,,,,,,,,,,
     nx  a22     1i 4500,22319065920001488,9982483310101488,1107252u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0023
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Cruijt, Jacobus Bernardus
      Paraaf van J. B. Cruijt ?
      Handwritten
    ","
      Ms. B16/2
    ","
      Cruijt, Jacobus Bernardus
      Handwritten
    ",,,,,,,,,,,
     nx  a22     1i 4500,22321355720001488,9985149050101488,1205112u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1639
    ","
      The Romantic Agony
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2007.03.16-17
    ","
      BIBC
      CaaCD38
    ",,,,,,,,,,,,,,
00873nx  a22002291i 4500,22321135380001488,9983677380101488,20150904135740.0,1111282u    8   4001uulat0000000,"
      DIGI_0033_0405
    ","
      Mechelen: GSM
      Manuscriptdep
      201111
    ","
      Mechelen: GSM
    ","
      Seminarium Arch. Sti Josephi Mechlininae
      Ownership stamp
    ","
      GBIB
      GBIB
      PM0328
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host GBIB
    ","
      Ex Cathedra project
    ","
      UBKUL collegedictaten 2015 MSB
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 september 04
    ","
      Mechelen: GSM
    ","
      Seminarium Arch. Sti Josephi Mechlininae
      Seminarium Arch. Sti. Josephi Mechliniae
      Ownership stamp
    ","
      GBIB
      GSM-Ms 105 C 1
    ","
      Digital version renders the covers and a small selection of the folios
    ",,,,
     nx  a22     1i 4500,22318946250001488,9982447290101488,1107132u    8   4001uulat0000000,,"
      WBIB
      WMAG
      PRECA0009
    ","
      Bockstaele, Paul
      Manuscriptdon
      200909
    ","
      Bandcover is restored
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host CBA
    ","
      Ex Cathedra project
    ","
      Ms. B5
    ",,,,,,,,,,,,
     nx  a22     1i 4500,22320234410001488,9984915010101488,1203162u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. K9
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
     nx  a22     1i 4500,22321304760001488,9985131390101488,1205102u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1455
    ","
      Baggerman, Georges
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      1995.04
    ",,,,,,,,,,,,,,,
     nx  a22     1i 4500,22321346170001488,9985145770101488,1205102u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1637
    ","
      Veiling Henri Godts
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2006.10.10
    ","
      BIBC
      CaaCD9
    ",,,,,,,,,,,,,,
     nx  a22     1i 4500,22321330390001488,9985145030101488,1205102u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 1636
    ","
      Veiling Henri Godts
      Manuscriptacq
      201205
    ","
      UBKUL collegedictaten host BIBC niet Leuvens
    ","
      2006.10.10
    ","
      BIBC
      CaaCD8
    ",,,,,,,,,,,,,,
     nx  a22     1i 4500,22320208880001488,9984889740101488,1203132u    8   4001uulat0000000,,"
      201203
    ","
      UBKUL collegedictaten host
    ","
      UBKUL collegedictaten host Berne Heeswijk
    ","
      Ex Cathedra project
    ","
      Abdij van Berne Heeswijk
      Ms. K14
    ","
      BIBC
      BRES
    ",,,,,,,,,,,,,
00522nx  a22001571i 4500,22318441480001488,9980130210101488,1104112u    8   4001uulat0000000,20150209144822.0,"
      DIGI_0033_0116
    ","
      Claeys-Bouuaert, Ferdinandus (Gent)
      Manuscriptdon
      201104
    ","
      J. B. (?)
      Handwritten
    ","
      BIBC
      BRES
      Ms. 316
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      J. B. (?)
      Tractatus De ethica per me sciptus XXXXXXXXXXX (name crossed out)
      Handwritten
    ","
      BIBC
      CaaCD25
    ","
      BIBC
      C20
    ",,,,,,,,,,
00385nx  a22001211n 4500,22362244730001488,9992149185101488,1011252u    8   4001uueng0000000,20150727150344.0,"
      DIGI_0033_0686
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 27
    ","
      Archives de l'Université catholique de Louvain
      Ms. C186
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362111750001488,9992148802601488,1011252u    8   4001uueng0000000,20150716160125.0,"
      DIGI_0033_0675
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 16
    ","
      Archives de l'Université catholique de Louvain
      Ms. C175
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362316030001488,9992149495501488,1011252u    8   4001uueng0000000,20150730113446.0,"
      DIGI_0033_0691
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 30
    ","
      Archives de l'Université catholique de Louvain
      Ms. C191
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362402740001488,9992149165001488,1011252u    8   4001uueng0000000,20150803154219.0,"
      DIGI_0033_0695
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 03
    ","
      Archives de l'Université catholique de Louvain
      Ms. C195
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362241640001488,9992149181501488,1011252u    8   4001uueng0000000,20150728154822.0,"
      DIGI_0033_0688
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 28
    ","
      Archives de l'Université catholique de Louvain
      Ms. C188
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361625610001488,9992146146201488,1011252u    8   4001uueng0000000,20150623150236.0,"
      DIGI_0033_0616
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 23
    ","
      Archives de l'Université catholique de Louvain
      Ms. C116
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362444470001488,9992150601501488,1011252u    8   4001uueng0000000,20150804144231.0,"
      DIGI_0033_0701
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 04
    ","
      Archives de l'Université catholique de Louvain
      Ms. C201
    ",,,,,,,,,,,,,
00384nx  a22001211n 4500,22360704350001488,9992141305401488,1011252u    8   4001uueng0000000,20150601163130.0,"
      DIGI_0033_0596
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 01
    ","
      Archives de l'Université catholique de Louvain
      Ms. C96
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362244910001488,9992149185601488,1011252u    8   4001uueng0000000,20150727140832.0,"
      DIGI_0033_0682
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 27
    ","
      Archives de l'Université catholique de Louvain
      Ms. C182
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362585090001488,9992151405501488,1011252u    8   4001uueng0000000,20150811111302.0,"
      DIGI_0033_0707
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 11
    ","
      Archives de l'Université catholique de Louvain
      Ms. C207
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362313830001488,9992149490701488,1011252u    8   4001uueng0000000,20150730154232.0,"
      DIGI_0033_0692
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 30
    ","
      Archives de l'Université catholique de Louvain
      Ms. C192
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361792460001488,9992146848801488,1011252u    8   4001uueng0000000,20150703134620.0,"
      DIGI_0033_0662
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 03
    ","
      Archives de l'Université catholique de Louvain
      Ms. C162
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361677290001488,9992146323901488,1011252u    8   4001uueng0000000,20150626114019.0,"
      DIGI_0033_0647
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 26
    ","
      Archives de l'Université catholique de Louvain
      Ms. C147
    ",,,,,,,,,,,,,
00384nx  a22001211n 4500,22360686390001488,9992141306501488,1011252u    8   4001uueng0000000,20150601115725.0,"
      DIGI_0033_0595
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 01
    ","
      Archives de l'Université catholique de Louvain
      Ms. C95
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361663900001488,9992146706401488,1011252u    8   4001uueng0000000,20150625161927.0,"
      DIGI_0033_0644
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 25
    ","
      Archives de l'Université catholique de Louvain
      Ms. C144
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361759810001488,9992146860001488,20150702115821.0,1011252u    8   4001uueng0000000,"
      DIGI_0033_0656
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 02
    ","
      Archives de l'Université catholique de Louvain
      Ms. C156
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362325230001488,9992149168001488,1011252u    8   4001uueng0000000,20150731134024.0,"
      DIGI_0033_0694
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 31
    ","
      Archives de l'Université catholique de Louvain
      Ms. C194
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361492040001488,9992146198201488,1011252u    8   4001uueng0000000,20150618145934.0,"
      DIGI_0033_0605
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 18
    ","
      Archives de l'Université catholique de Louvain
      Ms. C105
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361777290001488,9992146985601488,1011252u    8   4001uueng0000000,20150701152707.0,"
      DIGI_0033_0651
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 01
    ","
      Archives de l'Université catholique de Louvain
      Ms. C151
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362056920001488,9992148090201488,1011252u    8   4001uueng0000000,20150714105619.0,"
      DIGI_0033_0668
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 14
    ","
      Archives de l'Université catholique de Louvain
      Ms. C168
    ",,,,,,,,,,,,,
00382nx  a22001211n 4500,22361668600001488,9992146339101488,1011252u    8   4001uueng0000000,20150625111320.0,"
      DIGI_0033_0641
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni
    ","
      Archives de l'Université catholique de Louvain
      Ms. C141
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361979610001488,9992148095901488,1011252u    8   4001uueng0000000,20150713141204.0,"
      DIGI_0033_0667
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 13
    ","
      Archives de l'Université catholique de Louvain
      Ms. C167
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361860130001488,9992147495401488,1011252u    8   4001uueng0000000,20150707152215.0,"
      DIGI_0033_0663
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 07
    ","
      Archives de l'Université catholique de Louvain
      Ms. C163
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22362078420001488,9992148064401488,1011252u    8   4001uueng0000000,20150714155755.0,"
      DIGI_0033_0669
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juli 14
    ","
      Archives de l'Université catholique de Louvain
      Ms. C169
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362511490001488,9992150904801488,1011252u    8   4001uueng0000000,20150806141909.0,"
      DIGI_0033_0703
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 06
    ","
      Archives de l'Université catholique de Louvain
      Ms. C203
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361675510001488,9992146321001488,1011252u    8   4001uueng0000000,20150626144928.0,"
      DIGI_0033_0648
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 26
    ","
      Archives de l'Université catholique de Louvain
      Ms. C148
    ",,,,,,,,,,,,,
00389nx  a22001211n 4500,22362564180001488,9992150960001488,1011252u    8   4001uueng0000000,20150807162117.0,"
      DIGI_0033_0705
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 augustus 07
    ","
      Archives de l'Université catholique de Louvain
      Ms. C205
    ",,,,,,,,,,,,,
00385nx  a22001211n 4500,22361628390001488,9992146151501488,1011252u    8   4001uueng0000000,20150623113727.0,"
      DIGI_0033_0612
    ","
      BIBC
      BRES
      UCL
    ","
      UBKUL collegedictaten 2015 UCL
    ","
      Fonds InBev-Baillet Latour
    ","
      UBD metadata collegedictaten 2015 juni 23
    ","
      Archives de l'Université catholique de Louvain
      Ms. C112
    ",,,,,,,,,,,,,
